1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
223	-1.101966	102.584131	19.724789	0.009009	3.1
224	-1.133170	103.584001	19.566484	0.006015	3.0
225	-1.111228	103.494058	19.580620	0.007255	2.9
226	-1.066207	103.405237	19.594600	0.007276	3.1
227	-1.155057	104.401821	19.438879	0.006498	3.1
228	-1.095105	104.311878	19.452832	0.008277	3.4
229	-1.132310	104.221935	19.466804	0.007405	3.2
230	-1.106376	104.131999	19.480796	0.008981	3.4
231	-1.111765	105.131999	19.326348	0.005847	3.5
232	-1.101985	105.520321	19.267031	0.007725	3.7
233	-1.064279	106.497528	19.119358	0.009148	4.0
234	-1.105219	106.407585	19.132855	0.005611	3.4
235	-1.082513	106.317642	19.146372	0.008655	3.4
236	-1.092293	107.317642	18.997161	0.009388	3.4
237	-1.113502	108.317102	18.850336	0.007103	3.3
238	-1.093592	109.312206	18.706389	0.008995	4.1
239	-1.162372	109.246048	18.715891	0.009768	3.9
240	-1.101390	109.156105	18.728825	0.005061	3.8
241	-1.132830	110.147664	18.587223	0.005851	3.9
242	-1.080440	111.099420	18.453305	0.011741	4.1
243	-1.102252	112.099063	18.314711	0.007916	3.1
244	-1.067700	113.099063	18.178135	0.009201	3.2
245	-1.128877	113.009535	18.190279	0.005591	3.3
246	-1.144817	112.948877	18.198517	0.007144	4.1
247	-1.109480	112.858934	18.210745	0.009725	3.9
248	-1.096414	113.780370	18.086246	0.009811	3.3
249	-1.111541	114.780370	17.953044	0.006053	2.9
250	-1.097592	114.690426	17.964944	0.007866	3.3
251	-1.142929	115.690426	17.833516	0.012766	3.2
252	-1.172714	115.600484	17.845258	0.007178	3.6
253	-1.135968	115.510541	17.857016	0.011748	3.4
254	-1.087473	116.510541	17.727157	0.010017	2.9
255	-1.114310	117.510541	17.599172	0.007956	2.8
256	-1.142640	118.493529	17.475154	0.008029	2.8
257	-1.150324	118.403586	17.486429	0.008543	2.8
258	-1.067123	119.403586	17.361885	0.005789	3.1
259	-1.141365	119.313643	17.373014	0.009187	3.3
260	-1.052984	119.223700	17.384157	0.007698	3.2
261	-1.106042	119.133757	17.395315	0.010791	3.4
262	-1.089667	120.133757	17.272061	0.010703	3.2
263	-1.074557	121.133757	17.150541	0.007193	2.8
264	-1.093575	122.123537	17.031936	0.005930	3.1
265	-1.082166	122.035282	17.042445	0.006976	3.2
266	-1.147103	123.015217	16.926481	0.007231	3.1
267	-1.117136	122.925496	16.937033	0.011053	3.2
268	-1.133004	123.925496	16.820166	0.008507	3.3
269	-1.122648	124.925496	16.704900	0.006877	3.3
270	-1.091909	124.835589	16.715199	0.009558	3.8
271	-1.059095	124.745646	16.725514	0.007427	3.1
272	-1.097496	125.745646	16.611538	0.006227	3.2
273	-1.100325	126.745646	16.499105	0.008107	3.8
274	-1.111945	126.656103	16.509110	0.010962	3.5
275	-1.154998	126.566160	16.519173	0.008110	3.0
276	-1.085910	127.566094	16.407989	0.006807	3.1
277	-1.097813	128.566087	16.298286	0.007695	3.3
278	-1.089089	129.556750	16.191043	0.005979	2.9
279	-1.119176	129.467207	16.200679	0.007789	3.0
280	-1.116962	130.467203	16.093721	0.008426	3.3
281	-1.115234	130.377260	16.103283	0.011503	3.1
282	-1.071233	131.377260	15.997603	0.007244	3.0
283	-1.127159	132.377260	15.893301	0.006175	2.8
284	-1.105012	133.363144	15.791793	0.008127	2.8
285	-1.068951	134.363144	15.690149	0.009173	2.9
286	-1.103061	134.273385	15.699219	0.009856	3.3
287	-1.108599	134.325370	15.693965	0.010300	3.1
288	-1.119831	135.325206	15.593588	0.006764	3.0
289	-1.095377	135.235263	15.602565	0.007150	3.2
290	-1.101427	135.206174	15.605471	0.007665	3.1
291	-1.145427	136.197715	15.507038	0.006659	3.2
292	-1.106894	136.107772	15.515915	0.005405	3.2
293	-1.104917	136.017853	15.524801	0.005890	2.8
294	-1.091000	135.927917	15.533698	0.007216	2.9
295	-1.100612	135.837974	15.542606	0.009262	3.7
296	-1.118574	136.837970	15.444135	0.009393	3.7
297	-1.116613	136.748027	15.452941	0.008347	4.2
298	-1.095639	137.748027	15.355598	0.009159	4.1
299	-1.079119	138.748027	15.259474	0.008513	4.1
300	-1.101852	138.658120	15.268067	0.008984	3.6
301	-1.119013	138.607072	15.272950	0.007669	3.4
302	-1.131152	139.607072	15.177855	0.008743	3.6
303	-1.090484	139.557418	15.182549	0.010750	4.1
304	-1.171390	139.467475	15.191059	0.008509	4.1
305	-1.044194	140.467475	15.096978	0.005995	3.8
306	-1.144665	141.456703	15.005050	0.006973	3.3
307	-1.130880	141.366760	15.013362	0.008174	3.0
308	-1.136954	141.278503	15.021527	0.007505	3.2
309	-1.124778	142.278503	14.929527	0.007410	3.1
310	-1.135603	142.188560	14.937756	0.004758	3.2
311	-1.105826	142.098617	14.945994	0.006926	2.8
312	-1.073177	142.008675	14.954240	0.006953	2.8
313	-1.103838	143.008471	14.863079	0.005249	2.8
314	-1.088413	143.988837	14.774763	0.004994	2.9
315	-1.114994	144.048678	14.769406	0.008853	3.6
316	-1.118162	143.958805	14.777452	0.008986	3.6
317	-1.135993	144.958805	14.688409	0.008199	3.2
