[[-4.52449799e+01 -2.39091869e-02]
 [ 3.05969391e+01 -4.93766814e-02]
 [ 3.08990059e+01 -5.06268591e-02]
 [ 3.11996555e+01 -5.17670065e-02]
 [ 3.14987755e+01 -5.27878106e-02]
 [ 3.17962494e+01 -5.36799431e-02]
 [ 3.20919647e+01 -5.44340871e-02]
 [ 3.23858070e+01 -5.50409220e-02]
 [ 3.26776581e+01 -5.54911271e-02]
 [ 3.29674072e+01 -5.57753816e-02]
 [ 3.32549438e+01 -5.58843650e-02]
 [ 3.35401459e+01 -5.58087602e-02]
 [ 3.38229027e+01 -5.55392429e-02]
 [ 3.41031189e+01 -5.50692827e-02]
 [ 3.43807716e+01 -5.44035062e-02]
 [ 3.46558685e+01 -5.35493232e-02]
 [ 3.49284019e+01 -5.25141433e-02]
 [ 3.51983757e+01 -5.13053872e-02]
 [ 3.54657898e+01 -4.99304608e-02]
 [ 3.57306404e+01 -4.83967774e-02]
 [ 3.59929314e+01 -4.67117541e-02]
 [ 3.62526627e+01 -4.48828004e-02]
 [ 3.65098267e+01 -4.29173261e-02]
 [ 3.67644310e+01 -4.08227518e-02]
 [ 3.70164719e+01 -3.86064835e-02]
 [ 3.72659531e+01 -3.62759344e-02]
 [ 3.75128708e+01 -3.38385180e-02]
 [ 3.77572212e+01 -3.13016474e-02]
 [ 3.79990120e+01 -2.86727361e-02]
 [ 3.82382393e+01 -2.59591956e-02]
 [ 3.84748993e+01 -2.31684372e-02]
 [ 3.87089996e+01 -2.03078762e-02]
 [ 3.89405327e+01 -1.73849240e-02]
 [ 3.91695023e+01 -1.44069940e-02]
 [ 3.93959084e+01 -1.13814976e-02]
 [ 3.96197472e+01 -8.31584819e-03]
 [ 3.98410225e+01 -5.21745859e-03]
 [ 4.00597305e+01 -2.09374074e-03]
 [ 4.02758713e+01  1.04789238e-03]
 [ 4.04894485e+01  4.20002826e-03]
 [ 4.07004623e+01  7.35525368e-03]
 [ 4.09089050e+01  1.05061568e-02]
 [ 4.11147842e+01  1.36453239e-02]
 [ 4.13180962e+01  1.67653430e-02]
 [ 4.15188370e+01  1.98588036e-02]
 [ 4.17170181e+01  2.29202081e-02]
 [ 4.19126587e+01  2.59517357e-02]
 [ 4.21057777e+01  2.89574862e-02]
 [ 4.22964020e+01  3.19415554e-02]
 [ 4.24845543e+01  3.49080414e-02]
 [ 4.26702614e+01  3.78610417e-02]
 [ 4.28535500e+01  4.08046544e-02]
 [ 4.30344391e+01  4.37429734e-02]
 [ 4.32129555e+01  4.66801003e-02]
 [ 4.33891220e+01  4.96201329e-02]
